Sum of Quantity,Year,Quarter,Month,Day,Sum of UnitPrice,Sum of CostPrice,Category,Region,total sales (SUMX),Sum of profit
4,2022,Qtr 4,November,7,3127,2097,Clothing,West,10006.4,1618
6,2022,Qtr 4,November,7,416,322,Electronics,East,2496,564
8,2022,Qtr 4,November,7,4164,2114,Electronics,South,7687.900000000001,2816
5,2022,Qtr 4,November,7,1928,1571,Grocery,East,8676,821
3,2022,Qtr 4,November,9,3159,2172,Electronics,South,7107.75,592
8,2022,Qtr 4,November,9,242,181,Electronics,West,1452,4
14,2022,Qtr 4,November,9,5121,3907,Home,South,32262.3,4913
2,2022,Qtr 4,November,10,175,115,Beauty,East,262.5,33
8,2022,Qtr 4,November,10,1645,1031,Clothing,South,4393.25,722
2,2022,Qtr 4,November,10,3568,2558,Grocery,West,6422.4,1306
6,2022,Qtr 4,November,10,1578,1149,Home,West,8994.6,2101
5,2022,Qtr 4,November,11,3035,2465,Beauty,South,12898.75,574
8,2022,Qtr 4,November,11,3020,1896,Grocery,West,19328,4160
6,2022,Qtr 4,November,11,3775,3147,Home,West,16987.5,-1895
6,2022,Qtr 4,November,12,3725,2817,Electronics,North,20115,3213
4,2022,Qtr 4,November,12,3688,2211,Grocery,East,11801.6,2958
8,2022,Qtr 4,November,12,683,386,Home,North,4917.6,1830
7,2022,Qtr 4,November,13,4447,2813,Electronics,South,26459.65,6769
4,2022,Qtr 4,November,13,3969,2909,Grocery,South,13494.6,1859
2,2022,Qtr 4,November,13,4259,2380,Home,South,8092.1,3332
2,2022,Qtr 4,November,14,2900,1987,Electronics,East,5220,1246
2,2022,Qtr 4,November,15,1573,952,Beauty,North,2359.5,456
5,2022,Qtr 4,November,15,3872,2381,Grocery,East,15488,3583
4,2022,Qtr 4,November,15,1752,890,Home,North,5256,1696
6,2022,Qtr 4,November,16,2625,1437,Electronics,West,14175,5553
8,2022,Qtr 4,November,17,4253,2165,Electronics,East,32322.8,15003
8,2022,Qtr 4,November,17,1444,738,Home,South,10396.8,4493
3,2022,Qtr 4,November,17,2450,1723,Home,West,6247.5,1079
2,2022,Qtr 4,November,18,3190,2324,Beauty,West,5104,456
7,2022,Qtr 4,November,18,2963,1946,Electronics,North,19703.95,6082
1,2022,Qtr 4,November,18,3401,2183,Home,South,2550.75,368
1,2022,Qtr 4,November,19,4683,2968,Clothing,South,3980.55,1013
4,2022,Qtr 4,November,19,3416,2224,Home,North,10931.2,2035
6,2022,Qtr 4,November,19,2637,1965,Home,South,11866.5,77
3,2022,Qtr 4,November,20,2185,1618,Beauty,West,6227.25,1373
5,2022,Qtr 4,November,20,4465,2895,Electronics,East,16743.75,2269
7,2022,Qtr 4,November,20,4789,3953,Grocery,East,25142.25,-2529
1,2022,Qtr 4,November,20,1683,1102,Grocery,West,1262.25,160
5,2022,Qtr 4,November,21,1865,976,Electronics,East,8392.5,3513
2,2022,Qtr 4,November,21,3144,1854,Electronics,South,5659.2,1951
3,2022,Qtr 4,November,21,3914,3163,Grocery,North,11742,2253
8,2022,Qtr 4,November,21,2390,1329,Grocery,South,16252,5620
4,2022,Qtr 4,November,22,3971,2044,Beauty,South,15884,7708
7,2022,Qtr 4,November,22,2383,1430,Electronics,South,13344.8,3335
4,2022,Qtr 4,November,22,522,267,Grocery,East,1983.6,916
2,2022,Qtr 4,November,23,1104,570,Clothing,South,1656,516
1,2022,Qtr 4,November,23,3616,2120,Grocery,South,2712,592
6,2022,Qtr 4,November,23,3398,2384,Home,North,19368.6,5065
8,2022,Qtr 4,November,23,240,193,Home,West,1632,88
2,2022,Qtr 4,November,24,2737,1633,Clothing,South,5474,2208
3,2022,Qtr 4,November,24,1146,835,Electronics,North,3438,933
9,2022,Qtr 4,November,24,6957,4612,Electronics,South,26650.899999999998,6297
8,2022,Qtr 4,November,25,1406,1154,Electronics,South,10685.6,1454
4,2022,Qtr 4,November,25,2567,1970,Grocery,West,9241.2,1361
2,2022,Qtr 4,November,25,1903,1045,Home,East,3425.4,1335
4,2022,Qtr 4,November,25,4302,3570,Home,West,15487.2,1207
5,2022,Qtr 4,November,26,4172,3177,Beauty,East,17731,1846
4,2022,Qtr 4,November,26,1844,1273,Electronics,North,5900.8,809
2,2022,Qtr 4,November,26,3786,2866,Electronics,West,7572,1840
6,2022,Qtr 4,November,26,2804,1659,Home,North,14300.4,4346
7,2022,Qtr 4,November,26,3510,2127,Home,South,24570,9681
1,2022,Qtr 4,November,27,3588,2359,Clothing,East,3049.8,691
8,2022,Qtr 4,November,27,1945,1180,Clothing,South,14004,4564
6,2022,Qtr 4,November,27,3478,1996,Electronics,East,11301.95,4606
1,2022,Qtr 4,November,27,2646,1460,Electronics,South,2381.4,921
11,2022,Qtr 4,November,27,3532,2029,Home,South,20786.4,7854
8,2022,Qtr 4,November,28,2202,1440,Beauty,West,14092.8,2573
2,2022,Qtr 4,November,28,439,261,Electronics,North,834.1,312
2,2022,Qtr 4,November,28,2539,1470,Grocery,North,3808.5,869
1,2022,Qtr 4,November,29,2784,1507,Beauty,South,2505.6,999
3,2022,Qtr 4,November,29,1323,778,Clothing,East,3969,1635
5,2022,Qtr 4,November,29,2566,1838,Clothing,South,10905.5,1716
1,2022,Qtr 4,November,29,3860,3235,Electronics,South,3088,-147
16,2022,Qtr 4,November,29,4904,3454,Electronics,West,22309,7379
7,2022,Qtr 4,November,29,3553,2184,Grocery,North,19896.8,4609
12,2022,Qtr 4,November,30,4946,4093,Clothing,South,24448.8,-109
10,2022,Qtr 4,November,30,1642,1025,Clothing,West,6243.2,1849
7,2022,Qtr 4,November,30,1368,719,Electronics,South,7182,2149
4,2022,Qtr 4,December,1,844,676,Beauty,East,3038.4,334
5,2022,Qtr 4,December,1,1098,579,Electronics,West,5215.5,2321
8,2022,Qtr 4,December,1,4523,3807,Grocery,East,28947.2,-1509
1,2022,Qtr 4,December,1,595,366,Home,East,446.25,80
8,2022,Qtr 4,December,1,4938,2739,Home,West,37528.8,15617
6,2022,Qtr 4,December,2,509,288,Grocery,East,3054,1326
4,2022,Qtr 4,December,2,1725,969,Home,West,6900,3024
5,2022,Qtr 4,December,3,1924,1473,Beauty,South,7215,-150
7,2022,Qtr 4,December,3,1058,800,Grocery,North,6295.1,695
5,2022,Qtr 4,December,4,3000,2115,Grocery,South,11250,675
2,2022,Qtr 4,December,5,3371,2412,Beauty,East,6742,1918
11,2022,Qtr 4,December,5,3478,1871,Clothing,West,19148.2,7125
1,2022,Qtr 4,December,5,4205,3459,Home,North,3574.25,115
1,2022,Qtr 4,December,6,3679,2747,Clothing,South,3127.15,380
7,2022,Qtr 4,December,6,3386,2513,Clothing,West,23702,6111
1,2022,Qtr 4,December,6,848,478,Electronics,West,848,370
5,2022,Qtr 4,December,7,259,202,Beauty,South,1100.75,91
2,2022,Qtr 4,December,7,3144,1806,Clothing,East,5030.4,1418
7,2022,Qtr 4,December,7,3321,2005,Electronics,South,23247,9212
1,2022,Qtr 4,December,7,1982,1305,Grocery,South,1783.8,479
6,2022,Qtr 4,December,8,4556,3625,Electronics,West,24602.4,2852
2,2022,Qtr 4,December,8,3057,1701,Home,East,6114,2712
3,2022,Qtr 4,December,8,3150,2621,Home,South,7560,-303
1,2022,Qtr 4,December,8,2485,1592,Home,West,1988,396
2,2022,Qtr 4,December,9,4710,3733,Beauty,South,7536,70
2,2022,Qtr 4,December,9,3597,2798,Clothing,East,6114.9,519
7,2022,Qtr 4,December,9,901,620,Electronics,East,5991.65,1652
15,2022,Qtr 4,December,9,8108,4522,Electronics,South,54024.2,19914
2,2022,Qtr 4,December,9,4532,2472,Grocery,West,8610.8,3667
3,2022,Qtr 4,December,9,3029,2382,Home,South,8178.3,1032
6,2022,Qtr 4,December,9,3864,3234,Home,West,23184,3780
4,2022,Qtr 4,December,10,484,370,Beauty,South,1548.8,69
2,2022,Qtr 4,December,11,2630,1550,Electronics,South,5260,2160
7,2022,Qtr 4,December,11,985,501,Grocery,East,5171.25,1664
3,2022,Qtr 4,December,11,1934,1383,Home,South,4351.5,203
5,2022,Qtr 4,December,12,4801,3017,Beauty,South,24005,8920
1,2022,Qtr 4,December,12,1274,825,Clothing,West,1019.2,194
6,2022,Qtr 4,December,12,618,349,Electronics,East,3522.6,1429
3,2022,Qtr 4,December,12,4473,3122,Grocery,North,11406.15,2040
4,2022,Qtr 4,December,12,4408,2994,Grocery,South,17632,5656
1,2022,Qtr 4,December,13,102,55,Clothing,East,86.7,32
2,2022,Qtr 4,December,14,3426,2231,Home,North,5824.2,1362
7,2022,Qtr 4,December,14,4830,2980,Home,South,33810,12950
3,2022,Qtr 4,December,15,2762,1707,Clothing,East,7457.4,2336
7,2022,Qtr 4,December,15,3256,2536,Electronics,East,22792,5040
7,2022,Qtr 4,December,15,114,81,Grocery,South,678.3,111
5,2022,Qtr 4,December,16,147,114,Clothing,South,661.5,92
3,2022,Qtr 4,December,16,3066,2311,Clothing,West,6898.5,-35
1,2022,Qtr 4,December,16,794,596,Home,South,674.9,79
10,2022,Qtr 4,December,16,8317,5470,Home,West,27607.3,9757
1,2022,Qtr 4,December,17,198,111,Clothing,West,158.4,47
5,2022,Qtr 4,December,17,867,481,Home,South,4118.25,1713
5,2022,Qtr 4,December,18,295,172,Electronics,South,1180,320
4,2022,Qtr 4,December,18,4962,3171,Grocery,North,14886,2202
5,2022,Qtr 4,December,18,2004,1337,Home,North,7515,830
6,2022,Qtr 4,December,18,241,181,Home,West,1229.1,143
4,2022,Qtr 4,December,19,2546,1483,Beauty,West,7638,1706
5,2022,Qtr 4,December,20,2200,1384,Clothing,North,11000,4080
4,2022,Qtr 4,December,20,2655,1888,Electronics,South,10620,3068
5,2022,Qtr 4,December,20,2589,2128,Grocery,East,9708.75,-931
2,2022,Qtr 4,December,20,4754,3846,Grocery,West,8081.8,390
5,2022,Qtr 4,December,21,4732,3646,Beauty,South,17745,-485
4,2022,Qtr 4,December,21,4561,3798,Clothing,West,13683,-1509
6,2022,Qtr 4,December,21,790,475,Electronics,West,3555,705
4,2022,Qtr 4,December,21,1137,939,Grocery,South,4320.6,565
22,2022,Qtr 4,December,22,5410,2818,Beauty,South,37931.6,16244
6,2022,Qtr 4,December,22,2179,1718,Electronics,West,12420.3,2112
2,2022,Qtr 4,December,22,1180,620,Grocery,South,2006,766
7,2022,Qtr 4,December,23,3001,1591,Clothing,North,17855.95,6719
6,2022,Qtr 4,December,23,2861,1871,Grocery,South,15449.4,4223
2,2022,Qtr 4,December,23,814,576,Home,North,1546.6,395
8,2022,Qtr 4,December,24,1343,887,Clothing,North,9132.4,2036
6,2022,Qtr 4,December,24,4941,2610,Clothing,South,29646,13986
7,2022,Qtr 4,December,24,3923,2460,Electronics,South,26087.95,8868
3,2022,Qtr 4,December,24,620,355,Grocery,West,1581,516
7,2022,Qtr 4,December,24,3731,2871,Home,South,20893.6,797
8,2022,Qtr 4,December,25,836,679,Clothing,North,6688,1256
1,2022,Qtr 4,December,26,294,233,Grocery,East,235.2,2
1,2022,Qtr 4,December,27,4772,2931,Clothing,North,3579,648
5,2022,Qtr 4,December,27,3787,2383,Clothing,West,17988.25,6073
13,2022,Qtr 4,December,27,3571,2254,Grocery,South,21927.9,7372
8,2022,Qtr 4,December,27,3630,2803,Home,East,21780,-644
7,2022,Qtr 4,December,27,2828,1948,Home,South,19796,6160
3,2022,Qtr 4,December,28,2852,1947,Beauty,East,8128.2,2287
7,2022,Qtr 4,December,28,3224,2588,Electronics,East,22568,4452
5,2022,Qtr 4,December,28,397,294,Electronics,South,1488.75,19
8,2022,Qtr 4,December,29,1916,1592,Clothing,West,13795.2,1059
5,2022,Qtr 4,December,29,4048,2860,Electronics,West,18216,3916
2,2022,Qtr 4,December,29,4013,3280,Grocery,South,3379.65,100
1,2022,Qtr 4,December,30,1751,1024,Electronics,West,1663.45,639
9,2022,Qtr 4,December,30,4628,2837,Grocery,South,20004.4,7042
3,2023,Qtr 1,January,1,2902,2005,Electronics,South,8270.7,2256
7,2023,Qtr 1,January,1,974,531,Home,South,5113.5,1397
5,2023,Qtr 1,January,1,3651,2155,Home,West,18255,7480
3,2023,Qtr 1,January,2,1094,685,Beauty,North,2953.8,899
1,2023,Qtr 1,January,2,1747,1420,Grocery,North,1659.65,240
10,2023,Qtr 1,January,2,4745,2721,Grocery,West,19916.7,8359
5,2023,Qtr 1,January,2,732,568,Home,East,3294,454
7,2023,Qtr 1,January,3,2057,1114,Beauty,North,14399,6601
3,2023,Qtr 1,January,3,2274,1583,Clothing,South,6480.9,1732
4,2023,Qtr 1,January,3,856,449,Electronics,South,3424,1628
5,2023,Qtr 1,January,3,677,547,Grocery,South,3046.5,312
4,2023,Qtr 1,January,4,3446,1777,Beauty,West,11716.4,4608
3,2023,Qtr 1,January,4,329,167,Home,South,838.95,338
8,2023,Qtr 1,January,5,2356,1661,Electronics,South,16020.8,2733
7,2023,Qtr 1,January,5,4687,3371,Electronics,West,24606.75,1010
4,2023,Qtr 1,January,5,1393,750,Home,East,4457.6,1458
1,2023,Qtr 1,January,6,2783,1431,Beauty,South,2226.4,795
4,2023,Qtr 1,January,6,2960,2251,Grocery,South,11248,2244
3,2023,Qtr 1,January,6,1085,686,Home,East,3092.25,1034
3,2023,Qtr 1,January,6,3370,1708,Home,South,7582.5,2459
5,2023,Qtr 1,January,7,1664,1269,Beauty,West,6240,-105
5,2023,Qtr 1,January,7,215,153,Grocery,South,1021.25,256
4,2023,Qtr 1,January,7,2280,1485,Home,South,7752,1812
5,2023,Qtr 1,January,8,720,364,Clothing,South,3060,1240
4,2023,Qtr 1,January,9,1586,1276,Clothing,East,5709.6,606
6,2023,Qtr 1,January,9,332,220,Electronics,West,1992,672
8,2023,Qtr 1,January,10,4479,3027,Clothing,East,35832,11616
1,2023,Qtr 1,January,10,1739,1317,Clothing,South,1304.25,-13
2,2023,Qtr 1,January,10,3144,1876,Electronics,West,6288,2536
3,2023,Qtr 1,January,12,4429,2322,Clothing,North,10629.6,3664
8,2023,Qtr 1,January,12,3945,2923,Electronics,East,25248,1864
3,2023,Qtr 1,January,12,1123,680,Electronics,West,3369,1329
7,2023,Qtr 1,January,12,4615,2524,Grocery,West,25844,8176
7,2023,Qtr 1,January,12,6408,4605,Home,East,18700.8,3153
1,2023,Qtr 1,January,12,2344,1700,Home,South,2226.8,527
8,2023,Qtr 1,January,14,1359,812,Beauty,South,8697.6,2202
8,2023,Qtr 1,January,14,1226,767,Beauty,West,8336.8,2201
5,2023,Qtr 1,January,14,869,584,Electronics,West,3476,556
4,2023,Qtr 1,January,14,159,111,Grocery,East,540.6,97
1,2023,Qtr 1,January,15,2160,1633,Clothing,East,1728,95
7,2023,Qtr 1,January,15,2936,2331,Clothing,South,19524.4,3207
2,2023,Qtr 1,January,16,1719,1108,Clothing,West,2750.4,534
5,2023,Qtr 1,January,16,4752,3169,Electronics,East,14014,4659
7,2023,Qtr 1,January,17,1259,762,Beauty,South,7050.4,1716
8,2023,Qtr 1,January,17,1215,910,Electronics,South,9720,2440
4,2023,Qtr 1,January,17,2990,2226,Grocery,South,9568,664
2,2023,Qtr 1,January,18,4315,2963,Clothing,North,7335.5,1410
6,2023,Qtr 1,January,18,2779,2253,Electronics,South,14172.9,655
6,2023,Qtr 1,January,18,1346,825,Electronics,West,3495.8,1247
8,2023,Qtr 1,January,18,1338,874,Home,East,4158,1410
5,2023,Qtr 1,January,19,1422,815,Clothing,South,6043.5,1969
8,2023,Qtr 1,January,20,240,145,Clothing,East,1920,760
12,2023,Qtr 1,January,20,6286,3465,Electronics,South,40697,18345
6,2023,Qtr 1,January,20,722,592,Home,East,3465.6,-86
1,2023,Qtr 1,January,20,161,113,Home,South,144.9,32
5,2023,Qtr 1,January,21,2878,2234,Beauty,East,14390,3220
21,2023,Qtr 1,January,21,7226,4900,Clothing,North,38980.95,5065
5,2023,Qtr 1,January,21,2175,1395,Electronics,West,9243.75,2269
16,2023,Qtr 1,January,21,9045,6629,Grocery,South,41019.7,4354
3,2023,Qtr 1,January,21,1443,778,Home,South,3896.1,1562
7,2023,Qtr 1,January,24,2861,1770,Clothing,West,15020.25,2630
4,2023,Qtr 1,January,24,2619,1962,Electronics,South,8904.6,1057
6,2023,Qtr 1,January,24,3807,2789,Electronics,West,17131.5,398
3,2023,Qtr 1,January,24,3731,2935,Home,East,10073.7,1269
8,2023,Qtr 1,January,25,3887,2925,Beauty,South,29541.2,6141
6,2023,Qtr 1,January,25,286,198,Home,South,1544.4,356
6,2023,Qtr 1,January,26,2036,1527,Home,North,10383.6,1222
5,2023,Qtr 1,January,27,5128,4118,Beauty,North,16173.9,1826
2,2023,Qtr 1,January,27,950,485,Clothing,East,1520,550
7,2023,Qtr 1,January,27,3206,2532,Clothing,South,22442,4718
1,2023,Qtr 1,January,27,2612,1983,Home,South,1959,-24
7,2023,Qtr 1,January,28,3528,1983,Electronics,North,18522,4641
7,2023,Qtr 1,January,29,69,53,Electronics,West,362.25,-9
3,2023,Qtr 1,January,29,6696,4219,Home,South,9252.9,2935
2,2023,Qtr 1,January,30,3492,2538,Grocery,North,6285.6,1210
1,2023,Qtr 1,January,30,2891,2200,Grocery,South,2312.8,113
3,2023,Qtr 1,January,31,408,231,Clothing,South,1162.8,470
3,2023,Qtr 1,January,31,675,482,Electronics,North,2025,579
4,2023,Qtr 1,January,31,449,297,Grocery,West,1526.6,339
2,2023,Qtr 1,February,1,386,211,Beauty,North,772,350
3,2023,Qtr 1,February,1,2463,1662,Beauty,South,6280.65,1295
7,2023,Qtr 1,February,1,2176,1271,Clothing,South,15232,6335
6,2023,Qtr 1,February,1,1739,1315,Electronics,West,8868.9,979
8,2023,Qtr 1,February,1,883,565,Grocery,South,6357.6,1838
2,2023,Qtr 1,February,2,3863,2496,Beauty,North,6567.1,1575
7,2023,Qtr 1,February,2,197,124,Clothing,West,1034.25,166
2,2023,Qtr 1,February,2,2214,1553,Electronics,East,3321,215
4,2023,Qtr 1,February,2,4010,3054,Electronics,West,12832,616
2,2023,Qtr 1,February,2,2103,1196,Grocery,East,4206,1814
8,2023,Qtr 1,February,3,1720,1301,Beauty,South,11008,600
3,2023,Qtr 1,February,3,3902,2692,Clothing,South,11706,3630
5,2023,Qtr 1,February,4,1549,805,Clothing,East,7745,3720
2,2023,Qtr 1,February,5,3780,2248,Beauty,East,6426,1930
6,2023,Qtr 1,February,5,4991,3389,Clothing,East,23956.8,3623
4,2023,Qtr 1,February,5,2433,1386,Clothing,West,7785.6,2242
8,2023,Qtr 1,February,5,2257,1195,Grocery,East,13542,3982
5,2023,Qtr 1,February,6,4127,2666,Beauty,West,17539.75,4210
6,2023,Qtr 1,February,6,4036,2372,Clothing,South,21794.4,7562
4,2023,Qtr 1,February,6,118,95,Electronics,North,401.2,21
14,2023,Qtr 1,February,6,7831,5739,Electronics,West,46594.45,6421
2,2023,Qtr 1,February,6,3080,2039,Home,South,4928,850
3,2023,Qtr 1,February,7,418,310,Beauty,North,1191.3,261
6,2023,Qtr 1,February,7,2258,1877,Beauty,South,10161,-1101
8,2023,Qtr 1,February,7,2332,1811,Grocery,North,16790.4,2302
6,2023,Qtr 1,February,7,1896,1506,Home,East,9669.6,634
7,2023,Qtr 1,February,7,1420,804,Home,South,8449,2821
1,2023,Qtr 1,February,8,320,239,Grocery,East,256,17
2,2023,Qtr 1,February,8,2866,1517,Home,East,4872.2,1838
7,2023,Qtr 1,February,9,3828,2610,Beauty,South,22776.6,4507
4,2023,Qtr 1,February,9,3956,2321,Electronics,North,15032.8,5749
3,2023,Qtr 1,February,9,1105,626,Electronics,South,2983.5,1106
2,2023,Qtr 1,February,9,3525,2145,Home,South,6697.5,2408
4,2023,Qtr 1,February,10,3234,2607,Beauty,South,10348.8,-79
6,2023,Qtr 1,February,10,4070,3054,Clothing,South,23199,4875
4,2023,Qtr 1,February,11,1509,975,Clothing,South,6036,2136
8,2023,Qtr 1,February,11,1751,1447,Home,North,10506,-1070
4,2023,Qtr 1,February,12,2835,1996,Beauty,South,8505,521
5,2023,Qtr 1,February,12,3935,3332,Clothing,South,18691.25,2031
7,2023,Qtr 1,February,12,4420,3327,Grocery,North,23205,-84
2,2023,Qtr 1,February,13,2385,1829,Clothing,West,4770,1112
6,2023,Qtr 1,February,15,144,109,Clothing,West,734.4,80
2,2023,Qtr 1,February,15,3581,2328,Electronics,West,7162,2506
2,2023,Qtr 1,February,15,624,472,Grocery,West,1248,304
4,2023,Qtr 1,February,15,3428,2702,Home,South,12340.8,1533
8,2023,Qtr 1,February,16,4965,3970,Clothing,North,29790,-1970
3,2023,Qtr 1,February,16,3826,2680,Clothing,South,10330.2,2290
3,2023,Qtr 1,February,16,756,459,Home,West,2268,891
2,2023,Qtr 1,February,17,153,101,Clothing,South,229.5,28
1,2023,Qtr 1,February,17,2511,1690,Electronics,North,2008.8,319
8,2023,Qtr 1,February,17,2248,1621,Electronics,South,17984,5016
3,2023,Qtr 1,February,18,4990,3095,Beauty,West,12724.5,3440
2,2023,Qtr 1,February,18,3376,2594,Electronics,North,6414.4,1226
4,2023,Qtr 1,February,18,3121,1839,Grocery,North,11859.8,4504
6,2023,Qtr 1,February,18,3449,2484,Grocery,South,18624.6,3721
6,2023,Qtr 1,February,19,146,96,Clothing,East,788.4,212
2,2023,Qtr 1,February,19,4005,2285,Clothing,South,6408,1838
3,2023,Qtr 1,February,19,474,340,Home,West,1208.7,189
4,2023,Qtr 1,February,20,1826,1334,Clothing,South,5843.2,507
1,2023,Qtr 1,February,20,3916,1967,Home,South,3720.2,1753
5,2023,Qtr 1,February,21,2450,1510,Clothing,North,9800,2250
4,2023,Qtr 1,February,21,1347,933,Clothing,West,4849.2,1117
7,2023,Qtr 1,February,21,423,302,Electronics,South,2368.8,255
7,2023,Qtr 1,February,21,805,543,Home,East,4789.75,989
6,2023,Qtr 1,February,22,4800,2949,Beauty,East,24480,6786
2,2023,Qtr 1,February,22,612,376,Clothing,East,918,166
2,2023,Qtr 1,February,22,2664,1766,Home,North,5061.6,1530
1,2023,Qtr 1,February,23,4316,3136,Clothing,North,3668.6,533
1,2023,Qtr 1,February,23,86,54,Grocery,East,73.1,19
3,2023,Qtr 1,February,23,4148,2329,Home,North,12444,5457
1,2023,Qtr 1,February,24,1231,939,Beauty,West,1169.45,230
8,2023,Qtr 1,February,24,4346,3461,Clothing,South,26076,-1612
4,2023,Qtr 1,February,24,1938,1388,Clothing,West,7364.4,1812
4,2023,Qtr 1,February,24,1839,981,Home,South,6620.4,2696
6,2023,Qtr 1,February,25,4695,3489,Beauty,South,22536,1602
2,2023,Qtr 1,February,25,2780,2255,Electronics,East,4726,216
8,2023,Qtr 1,February,25,4430,2519,Electronics,West,33668,13516
5,2023,Qtr 1,February,25,4799,2991,Grocery,West,21595.5,6641
13,2023,Qtr 1,February,26,8745,7254,Beauty,South,50715.899999999994,4056
6,2023,Qtr 1,February,26,4568,2944,Beauty,West,20556,2892
6,2023,Qtr 1,February,26,853,715,Grocery,North,4862.1,572
6,2023,Qtr 1,February,27,3398,2577,Home,North,17329.8,1868
12,2023,Qtr 1,February,28,3676,2189,Clothing,South,21917,5805
5,2023,Qtr 1,February,28,2535,1530,Clothing,West,12041.25,4391
2,2023,Qtr 1,February,28,4192,3027,Home,West,7545.6,1492
2,2023,Qtr 1,March,2,2292,1595,Beauty,East,4125.6,936
3,2023,Qtr 1,March,2,1368,1149,Beauty,North,3488.4,41
10,2023,Qtr 1,March,2,5586,3700,Home,South,28260,8466
6,2023,Qtr 1,March,2,4180,3394,Home,West,23826,3462
5,2023,Qtr 1,March,3,2700,2135,Beauty,West,12150,1475
12,2023,Qtr 1,March,3,5334,3764,Electronics,East,28414.449999999997,2938
6,2023,Qtr 1,March,3,1284,803,Electronics,South,7704,2886
7,2023,Qtr 1,March,3,3150,1639,Home,West,16537.5,5065
1,2023,Qtr 1,March,4,2634,2013,Electronics,West,1975.5,-38
10,2023,Qtr 1,March,5,3615,2739,Electronics,South,18372,471
2,2023,Qtr 1,March,5,599,394,Home,North,1078.2,290
3,2023,Qtr 1,March,6,2370,1496,Clothing,West,7110,2622
10,2023,Qtr 1,March,6,8557,5142,Electronics,South,41497.9,14678
1,2023,Qtr 1,March,6,4863,3428,Grocery,South,3890.4,462
8,2023,Qtr 1,March,7,2568,1560,Electronics,East,15408,2928
3,2023,Qtr 1,March,7,4210,3412,Electronics,West,10104,-132
5,2023,Qtr 1,March,7,3164,2532,Grocery,East,12656,-4
5,2023,Qtr 1,March,7,1144,931,Grocery,North,4862,207
6,2023,Qtr 1,March,8,4761,2424,Clothing,North,28566,14022
6,2023,Qtr 1,March,8,2389,1465,Electronics,South,11467.2,2677
6,2023,Qtr 1,March,8,511,412,Grocery,South,3066,594
1,2023,Qtr 1,March,8,2348,1526,Home,North,1761,235
6,2023,Qtr 1,March,8,4864,2616,Home,West,27724.8,12029
5,2023,Qtr 1,March,9,4430,2290,Beauty,East,17720,6270
13,2023,Qtr 1,March,9,5005,3100,Grocery,East,35208.8,11351
7,2023,Qtr 1,March,10,3764,1975,Electronics,South,22395.8,8571
5,2023,Qtr 1,March,10,2386,1665,Electronics,West,10737,2412
13,2023,Qtr 1,March,10,5222,2823,Grocery,South,31198.65,11897
8,2023,Qtr 1,March,10,3929,2008,Home,East,23574,7510
5,2023,Qtr 1,March,10,3347,2319,Home,North,15061.5,3467
2,2023,Qtr 1,March,11,4228,2425,Electronics,East,6342,1492
5,2023,Qtr 1,March,11,2290,1374,Home,East,10877.5,4008
5,2023,Qtr 1,March,12,1146,774,Clothing,East,4870.5,1001
5,2023,Qtr 1,March,12,2577,1306,Home,South,10952.25,4422
6,2023,Qtr 1,March,12,2604,1715,Home,West,11718,1428
6,2023,Qtr 1,March,13,2810,1621,Clothing,East,12645,2919
8,2023,Qtr 1,March,13,2138,1074,Grocery,North,13683.2,5091
3,2023,Qtr 1,March,13,3797,2305,Home,East,10251.9,3337
11,2023,Qtr 1,March,14,3179,2207,Electronics,North,19479.9,4352
7,2023,Qtr 1,March,15,2952,1900,Beauty,East,17564.4,4264
7,2023,Qtr 1,March,15,3524,2396,Electronics,South,23434.6,6663
7,2023,Qtr 1,March,15,1357,953,Grocery,North,9499,2828
3,2023,Qtr 1,March,15,3251,2757,Home,East,9753,1482
1,2023,Qtr 1,March,16,3648,1914,Beauty,East,3465.6,1552
13,2023,Qtr 1,March,16,11078,6263,Beauty,South,43768.5,14768
4,2023,Qtr 1,March,16,3531,2964,Clothing,North,11299.2,-557
8,2023,Qtr 1,March,16,714,484,Home,North,5712,1840
2,2023,Qtr 1,March,17,136,98,Beauty,South,244.8,49
4,2023,Qtr 1,March,17,4874,3485,Clothing,East,14622,682
1,2023,Qtr 1,March,17,310,191,Clothing,South,248,57
3,2023,Qtr 1,March,17,4566,3193,Electronics,South,12328.2,2749
4,2023,Qtr 1,March,18,1255,730,Clothing,North,4518,1598
3,2023,Qtr 1,March,18,4014,2865,Clothing,South,11439.9,2845
7,2023,Qtr 1,March,19,2005,1584,Home,East,11929.75,842
11,2023,Qtr 1,March,20,4327,2752,Electronics,East,15895.6,2434
8,2023,Qtr 1,March,20,1210,706,Grocery,North,7260,1612
6,2023,Qtr 1,March,21,3800,2700,Clothing,East,19380,3180
7,2023,Qtr 1,March,21,3694,2684,Clothing,North,23272.2,4484
6,2023,Qtr 1,March,21,4200,2382,Clothing,South,20160,5868
9,2023,Qtr 1,March,21,3101,2359,Grocery,South,10518.900000000001,889
7,2023,Qtr 1,March,21,3345,2048,Home,South,18732,4396
7,2023,Qtr 1,March,21,2422,1833,Home,West,14410.9,1580
6,2023,Qtr 1,March,22,2507,1951,Beauty,West,11281.5,-425
7,2023,Qtr 1,March,22,1727,995,Clothing,North,9066.75,2102
8,2023,Qtr 1,March,22,4885,3431,Clothing,South,10391.7,2326
